id,brand,name,price,price_promo
165328213,Leya_,Белая рубашка оверсайз укороченная стильная,5990,1198
103313744,ArDanix,блузка офисная повседневная,4000,640
171767296,O'STIN,Укороченная женская рубашка в клетку,2599,1122
71695933,TOPTOP,Рубашка,6990,2236
180123116,ZARINA,Блузка боди нарядная блестящая с вырезом в рубчик,1799,561
158150506,MB,Блузка нарядная с коротким рукавом,1440,327
159958301,By Babur,Блузка розовая в офис праздничная,3290,921
161019521,Life in StyIe,Рубашка женская оверсайз больших размеров,6000,720
183643268,Modis,Блузка нарядная в пайетках с длинным рукавом на Новый Год,2599,1247
188987988,Sitteria,Новогодняя блузка нарядная с объемными рукавами,2426,1436
165955336,Gloria Jeans,Чёрная рубашка с коротким рукавом,1799,561
195274295,PERFERITA,Рубашка свободная с пайетками,35044,3644
171692339,Camicia,"Блузка школьная с длинным рукавом, для офиса",4838,619
123817002,SVETLUNA,Блузка нарядная больших размеров оверсайз,11246,2519
50322895,Milanya,Рубашка классическая офисная,3485,1087
178583883,ASSOL dreams come true,Блузка серая офисная с рукавами фонариками,5600,851
155911762,Gloria Jeans,Чёрно-белая укороченная блузка с принтом,1399,237
174730501,LADY OF THE MOON,Блузка офисная с длинным рукавом,5874,986
181074581,Berrak,Боди с коротким рукавом,3348,535
177668726,WOW's,Рубашка корсетного кроя нарядная хлопок,4050,1296
143468602,Popcorn shop,Рубашка укороченная,4110,1446
174930081,LADY OF THE MOON,Блузка офисная под пиджак с длинным рукавом,5874,986
36092973,ANNEN,Рубашка,4500,1080
183905386,LADY OF THE MOON,Блузка нарядная офисная с длинным рукавом бохо,6115,978
172738878,FUNDAY,Рубашка,1799,805
159468340,ArDanix,блузка офисная повседневная,4000,1312
122776492,Moremio,Блузка боди водолазка с длинным рукавом с принтом,4620,1182
187039981,NOANA,Рубашка оверсайз базовая для офиса и школы,4995,799
168847051,Finn Flare,Рубашка с принтом,3999,1375
194531637,Shevetty style,Блузка в пайетках,4899,1489
14173601,VISERDI,Летняя блузка офисный стиль большие размер,7845,1317
151370929,LAZETTA B&T,Блузка офисная с длинным рукавом,10000,400
160036303,UNIQUE WOMEN'S CLOTHING,Рубашка оверсайз белая,2500,600
105909857,PaNDuM,Рубашка блузка оверсайз шелковая праздничная,7000,728
88810909,Vistyle,Рубашка туника домашняя,3180,1424
144882797,INCITY,Блузка женская укороченная,2799,1186
99447664,Bella Belle,Блузка больших размеров праздничная нарядная,6500,988
161071803,Bella Belle,Блузка нарядная больших размеров,6500,988
173173749,BRAVO GROUP,Блузка топ с открытыми плечами,5000,880
175896651,Pretty Woman,Рубашка больших размеров офисная,10800,1900
170189530,A&D store,Рубашка оверсайз с длинным рукавом вельветовая,5000,1080
144951107,Chompoo,Боди с длинным рукавом черное,4500,450
143460911,inclothes,Боди с длинным рукавом,4750,760
171731109,Moon Rose,Блузка на запах нарядная,3198,1279
99873940,BABUSHKIN,Рубашка больших размеров,2200,756
120707095,WITH STREET,Блузка с рукавами фонариками,2290,677
169752842,ТВОЕ,Классическая женская рубашка оверсайз с длинным рукавом,1499,647
183551752,shats,Блузка с длинным рукавом офисная,6400,972
166505680,KG STORE,Рубашка оверсайз белая большие размеры,4000,576
66101691,Missta,Блузка с вырезами с длинным рукавом,3166,1291
139469021,"Come on, baby",Рубашка с длинным рукавом,2834,521
153164447,DEANSTORE,Блузка праздничная офисная на весну,7700,924
172418177,Mango,Рубашка,5999,2498
150829039,Nadex for women,Рубашка однотонная форменная,700,350
148320176,Vivat.,Блузка,4600,1545
40008988,Daniel diaz,Рубашка женская прямая офисная больших размеров оверсайз,3990,1085
175075048,Северная Лагуна,Рубашка удлиненная офисная с принтом,5200,1788
165726190,Amexfur,Блузка праздничная из сетки,4500,900
151785782,SEZONI,Блузка с коротким рукавом,2800,515
52658853,NIKAVIKA,Рубашка оверсайз с длинным рукавом офисная,5546,2351
176761236,Лилибет,Кофта атласная нарядная вечерняя офисная повседневная,4500,1080
36435245,KONTALY,Блузка с длинным рукавом,6000,2016
128693642,1Beautiful Fashion1,Блузка нарядная повседневная оверсайз в офис и на праздник,4000,1632
163478272,Marco Bonne`,Рубашка оверсайз в клетку теплая удлиненная,1990,907
166868711,Mango,Рубашка,4999,2506
115928795,La Manik,Рубашка с пышным воротником,5800,1948
174670854,AOX,рубашка оверсайз базовая классическая для офиса и школы,6280,1105
190442797,Elyzee,Рубашка оверсайз шелковая офисная с длинным рукавом,4990,1676
95880761,DiA Clothes,Блузка белая с коротким рукавом,2100,890
59644408,Olesa Chugunova,Рубашка оверсайз для офиса и школы,7700,1663
169714694,Crewton,Блузка праздничная нарядная с длинным рукавом,2128,919
159065414,Andreev,"Блузка праздничная, футболка базовая с декольте",5000,800
175762681,AVRON,Рубашка оверсайз базовая для офиса и школы,3218,1106
158675246,A-A Awesome Apparel by Ksenia Avakyan,Блузка без рукавов летняя нарядная,3656,467
10505065,Infinity Story,Рубашка кожаная на кнопках,6700,2197
144555640,OCH,Блузка шелковая,4500,576
190618237,LONA,Блузка сетка нарядная леопард,2300,1380
172233030,Fa-style,Рубашка женская легкий оверсайз,6000,1008
174602684,ARZUwear,Рубашка вельветовая больших размеров,3400,1033
87332074,SEZONI,Блузка повседневная,4800,921
166824784,MEET AIDA,Рубашка белая блузка офисная оверсайз с длинным рукавом,5500,1408
120476530,Lady Gina,Блузка рубашка атласная праздничная,3100,1116
171630470,TARANTUL,Рубашка в клетку оверсайз,3337,1041
111990841,HELLO MODA!,Блузка летняя больших размеров рубашка офисная,2699,971
175581457,ProGarderob,Рубашка оверсайз хлопковая офисная,2900,974
143986916,Fa-style,Рубашка женская легкий оверсайз,6000,912
164239701,New dress-code,Рубашка белая оверсайз летняя хлопок,4275,1333
114015683,TESVI,Рубашка классическая оверсайз,5300,763
72971272,RAYSWELL,Блузка с коротким рукавом нарядная,7139,799
125826633,Pocherk,Блузка нарядная,2000,672
140247987,A-A Awesome Apparel by Ksenia Avakyan,Блузка бархатная,5844,2244
137220947,HEDY LOVE,Блузка праздничная,5000,1040
163533443,ZARINA,Рубашка оверсайз,3599,1238
72811489,Vista Mare,Рубашка оверсайз черная,3334,1200
191954360,MOVATTY,Блузка женская нарядная праздничная с длинным рукавом,5000,1240
172348951,PaNDuM,Рубашка гавайская летняя оверсайз из льна,6000,1200
189193289,MLNtm,Топ блестящий с пайетками,5000,400
116605518,TOPTOP,Блузка боди с длинным рукавом,9890,3560
173281777,Vittoria Vicci,Офисная блузка с пышными рукавами Рубашка,7290,3324
159497358,LOVE REPUBLIC,Топ атласный из вискозы,2299,459
167573740,United Colors of Benetton,Рубашка из поплина,4599,2276
167573698,United Colors of Benetton,Рубашка из поплина,4599,2276
16526336,SofiCo,Рубашка белая оверсайз,3300,1927
51703790,Северная Лагуна,Рубашка офисная блузка удлиненная,5200,1456
17776789,SO Brand,Блузка рубашка оверсайз белая нарядная,6970,1505
166652518,Gloria Jeans,Синяя рубашка oversize с нагрудным карманом с нашивкой,1799,489
173762563,Rozova collection,Рубашка шелковая вечерняя в офис,7500,1200
165407259,BALSAKO,Рубашка оверсайз офисная блузка,4180,2073
8276764,oodji,Блузка,429,390
49398057,Звезда для тебя,Блузка офисная нарядная,3200,1766
90732869,RODNЯ,Блузка с баской плотный трикотаж хлопок,5200,1040
90634861,toLAVVAno,Блузка женская летняя с коротким рукавом,1390,578
91173117,toLAVVAno,Блузка женская летняя с коротким рукавом,1390,567
157277010,EasyBrave,Блузка базовая с коротким рукавом,4400,422
176308029,AM One,Блузка шелковая нарядная,3790,1819
29137416,Daniel diaz,Рубашка классическая прямая оверсайз больших размеров,3990,1085
40562168,The Extravaganza,Блузка-боди на молнии с длинным рукавом однотонное,5036,1490
155597119,LOVE REPUBLIC,Блузка-боди с вшитыми чашами,4099,983
121027767,VISERDI,Блузка водолазка с коротким рукавом и горлом теплая,3496,615
167620329,MB,Блузка нарядная с коротким рукавом,2400,327
145979494,Beige Island,Рубашка оверсайз с объемными рукавами фонариками,4000,1600
142709091,KONTALY,Блузка с шифоном,7290,2391
160537554,Niti Wear,Рубашка женская оверсайз хлопок,9900,2376
184620969,MIR&OFF,Рубашка в клетку оверсайз теплая,3000,1248
167157312,LADY OF THE MOON,Блузка офисная с коротким рукавом,3950,568
172549693,BE BLESSED,Рубашка Теплая Укороченная Оверсайз,8990,2085
77176309,WEZEN,Блуза,2500,1180
174730500,LADY OF THE MOON,Блузка офисная с длинным рукавом,5875,987
174930083,LADY OF THE MOON,Блузка офисная под пиджак с длинным рукавом,5900,1085
149169070,Sherpa,Рубашка с корсетом,3000,600
50657245,Milanya,Блузка классическая офисная,4014,899
172456670,Po&Po,Рубашка джинсовая оверсайз,3900,2652
190037130,MOVATTY,Блузка нарядная с длинным рукавом офисная школьная,3750,1020
12012776,Bliss,Боди женское с длинным рукавом рубашка блузка женская вырез,6000,1248
29731701,VENTA.,Блузка льняная офисная,5640,2301
144808212,OLESA CHUGUNOVA,Рубашка льняная,5990,2012
12816142,COSMI,Женская рубашка кожаная куртка летняя,7300,2102
119202122,LALIS,Блузка,6246,1399
177689243,ANNEN,Рубашка белая хлопок офисная,4500,1260
31796611,toLAVVAno,Блузка кофта праздничная офисная черная белая нарядная,1390,633
61423914,toLAVVAno,Блузка кофта праздничная офисная черная белая нарядная,1390,578
181664210,JA&VI,Нарядная блузка на запах праздничная,11690,3086
180065553,Fioletta,Рубашка в клетку повседневная теплая,13900,1112
168280390,Duechento,Рубашка серая базовая для офиса и школы хлопок,6999,2239
183631496,Makey Kelly,Блузка атласная офисная вечерняя,7758,1179
146194937,LIVAZE,Блузка нарядная офисная,2800,716
137765958,K-DIZ,Боди с длинным рукавом вырезом секси праздничное,9000,576
145445959,YLLO,Блузка боди с длинным рукавом и вырезом на шнуровке,3200,844
159468339,ArDanix,блузка офисная повседневная,4000,1312
163193401,AlKsen,Рубашка оверсайз,6470,931
169589382,LADY OF THE MOON,Блузка офисная с коротким рукавом,6000,672
160345619,2Nika,Блузка женская с принтом с коротким рукавом 3 4 офисная,2600,665
164134964,Neohit,Рубашка из хлопка,6390,971
149743170,OverClover,Блузка вечерняя офисная рубашка,5800,835
174149473,MEET AIDA,Рубашка офисная блузка оверсайз с длинным рукавом,5500,1276
166156372,ROMANTIC,"Атласная рубашка oversize, удлиненная туника из шелка",5800,1113
162219086,MY МОДА,Блузка нарядная с длинным рукавом для офиса и школы,4500,1008
111795594,Marybeth,Рубашка в клетку теплая оверсайз,3840,1382
40008825,Daniel diaz,Рубашка женская прямая офисная больших размеров оверсайз,3990,1085
141207348,T-bay,Блузка нарядная в офис оверсайз,6440,2266
158359679,Love Talk,Рубашка муслиновая,4990,1437
144844980,Mil&Ti design,Рубашка теплая оверсайз,8000,1920
178248825,GRWM,Блузка нарядная новый год с длинным рукавом,6900,2594
98779473,Kulibili,Блузка белая офисная,2509,1144
155916274,SPARADA,Рубашка летняя оверсайз,5800,1113
190844785,Северная Лагуна,Блузка офисная нарядная,5200,2288
172738856,FUNDAY,Фланелевая хлопковая рубашка в клетку,1699,992
147526970,MAGNETIC feel,Рубашка оверсайз базовая,2099,839
175025736,ModaMarket,Рубашка кожаная оверсайз с бахромой черная,7900,2464
190397723,Pretty Woman,Рубашка оверсайз больших размеров,4200,2184
145499399,Bluza,Рубашка оверсайз удлиненная трикотажная,6900,993
154790921,SWEET COLD,Блуза гипюр с кружевом,5500,968
143294110,USHICLO,Рубашка оверсайз офисная удлиненная,3450,828
163832677,Befree,Блузка-рубашка базовая укороченная,1899,1093
174934955,LADY OF THE MOON,Блузка офисная с длинным рукавом праздничная,5875,987
158153014,MB,Блузка нарядная с коротким рукавом,1032,412
15501908,Glumoda,Блузка боди на одно плечо,3100,942
167192161,Gloria Jeans,Чёрная рубашка oversize,2199,650
169713304,ilookhome,Рубашка классическая новогодняя в клетку для офиса,4950,633
155916271,SPARADA,Рубашка летняя оверсайз,5800,1160
42975485,Anitabold,Рубашка летняя оверсайз вельветовая белая,4700,564
177296551,LONA,Рубашка с длинным рукавом офисная,4500,1944
178290327,Finn Flare,"Блузка, рубашка трикотажная в полоску",6599,2058
177715774,ANNEN,Рубашка оверсайз,4500,1224
143280371,zzar,Блузка топ на запах праздничная нарядная с бантом,3990,2585
172920740,ilookhome,Рубашка классическая новогодняя в клетку для офиса,4950,752
188551184,ZARINA,Блузка нарядная прозрачная с блестками на завязках,3999,1279
142450581,Blistay,Блузка нарядная с прозрачным рукавом,6000,1440
177965109,Makey Kelly,Рубашка блузка укороченная хлопковая офисная,7722,1173
37060957,toLAVVAno,Блузка женская летняя праздничная больших размеров,1390,589
28923886,A-A Awesome Apparel by Ksenia Avakyan,Блузка базовая,3625,580
180610039,oodji,Блузка,1299,1039
109551816,Diona,Рубашка,3400,816
195274294,PERFERITA,Рубашка свободная с пайетками,36479,3793
187434170,NATALIA ZUBTSOVA,Блузка нарядная с длинным рукавом,7800,2246
175971324,Home Capsula,Блузка нарядная праздничная с кружевом,5148,1688
97703601,Elimi,Рубашка белая оверсайз блузка офисная с длинным рукавом,4640,1076
176062541,A&D store,Рубашка оверсайз с длинным рукавом вельветовая,5000,1080
140044853,OLESA CHUGUNOVA,Рубашка оверсайз базовая для офиса и школы,5500,1540
96329734,ArDanix,блузка офисная повседневная,4000,896
